bioguide_id,first_name,last_name,state_code,state_name,district_number,district_code,district_ordinal,party,chamber,title,title_short,website
G000580,Thomas,Garrett,VA,Virginia,5,VA05,5th,REPUBLICAN,HOUSE,Representative,Rep.,https://tomgarrett.house.gov
G000581,Vicente,Gonzalez,TX,Texas,15,TX15,15th,DEMOCRAT,HOUSE,Representative,Rep.,https://gonzalez.house.gov
G000582,Jenniffer,González-Colón,PR,Puerto Rico,0,PR00,At-Large,REPUBLICAN,HOUSE,Representative,Rep.,https://gonzalez-colon.house.gov
G000583,Josh,Gottheimer,NJ,New Jersey,5,NJ05,5th,DEMOCRAT,HOUSE,Representative,Rep.,https://gottheimer.house.gov
H000324,Alcee,Hastings,FL,Florida,20,FL20,20th,DEMOCRAT,HOUSE,Representative,Rep.,http://alceehastings.house.gov
H000338,Orrin G.,Hatch,UT,Utah,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.hatch.senate.gov/
H000874,Steny,Hoyer,MD,Maryland,5,MD05,5th,DEMOCRAT,HOUSE,Representative,Rep.,https://hoyer.house.gov
H001036,Jeb,Hensarling,TX,Texas,5,TX05,5th,REPUBLICAN,HOUSE,Representative,Rep.,http://hensarling.house.gov
H001038,Brian,Higgins,NY,New York,26,NY26,26th,DEMOCRAT,HOUSE,Representative,Rep.,http://higgins.house.gov
H001041,Dean,Heller,NV,Nevada,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.heller.senate.gov/
H001042,Mazie K.,Hirono,HI,Hawaii,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.hirono.senate.gov/
H001045,Gregg,Harper,MS,Mississippi,3,MS03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,http://harper.house.gov
H001046,Martin,Heinrich,NM,New Mexico,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.heinrich.senate.gov/
H001047,James,Himes,CT,Connecticut,4,CT04,4th,DEMOCRAT,HOUSE,Representative,Rep.,https://himes.house.gov
H001048,Duncan,Hunter,CA,California,50,CA50,50th,REPUBLICAN,HOUSE,Representative,Rep.,https://hunter.house.gov
H001050,Colleen,Hanabusa,HI,Hawaii,1,HI01,1st,DEMOCRAT,HOUSE,Representative,Rep.,https://hanabusa.house.gov
H001052,Andy,Harris,MD,Maryland,1,MD01,1st,REPUBLICAN,HOUSE,Representative,Rep.,http://harris.house.gov
H001053,Vicky,Hartzler,MO,Missouri,4,MO04,4th,REPUBLICAN,HOUSE,Representative,Rep.,https://hartzler.house.gov
H001056,Jaime,Herrera Beutler,WA,Washington,3,WA03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,http://herrerabeutler.house.gov
H001058,Bill,Huizenga,MI,Michigan,2,MI02,2nd,REPUBLICAN,HOUSE,Representative,Rep.,http://huizenga.house.gov
